PROVINCE,DISTRICT,COMMUNE,VILLAGE,INFAID,NAME,XCOORD,YCOORD,HHOLD,TOTPOP,MALES,FEMALES
1,2,1,1,1020101,Ou Thum,287775.8725,1494766.285,129,743,367,376
1,2,1,2,1020102,Phnum,285878.8913,1494760.276,199,1141,559,582
1,2,1,3,1020103,Banteay Neang,285878.9243,1494361.577,342,1885,898,987
1,2,1,9,1020109,Khile,286578.1307,1491671.865,162,950,473,477
1,2,1,10,1020110,Samraong Pen,287376.7819,1492172.933,127,629,298,331
1,2,1,11,1020111,Dang Run Lech,288075.6255,1492573.901,176,996,475,521
1,2,1,12,1020112,Dang Run Kaeut,288674.6448,1492775.17,152,794,398,396
1,2,1,13,1020113,Ou Snguot,285679.7707,1489375.992,201,1051,503,548
1,2,1,14,1020114,Prey Changha Lech,286378.6554,1489378.231,174,918,428,490
1,2,1,15,1020115,Prey Changha Kaeut,287077.5732,1489480.191,79,461,237,224
1,2,1,16,1020116,Ou Andoung Lech,288575.101,1489584.559,86,448,207,241
1,2,1,17,1020117,Ou Andoung Kandal,289673.3815,1489588.029,134,714,337,377
1,2,1,18,1020118,Ou Andoung Kaeut,290571.9476,1489590.908,317,1611,808,803
